lab,n,workers,time_s,ops,gflops
lab_01,200,1,0.003176,16000000,5.037
lab_01,200,1,0.003150,16000000,5.080
lab_01,200,1,0.001938,16000000,8.257
lab_01,400,1,0.030475,128000000,4.200
lab_01,400,1,0.027963,128000000,4.577
lab_01,400,1,0.029234,128000000,4.378
lab_01,800,1,0.193147,1024000000,5.302
lab_01,800,1,0.162294,1024000000,6.310
lab_01,800,1,0.216406,1024000000,4.732
lab_01,1200,1,0.563825,3456000000,6.130
lab_01,1200,1,0.574783,3456000000,6.013
lab_01,1200,1,0.650148,3456000000,5.316
lab_01,1600,1,2.129013,8192000000,3.848
lab_01,1600,1,1.674774,8192000000,4.891
lab_01,1600,1,1.943998,8192000000,4.214
lab_01,2000,1,4.494994,16000000000,3.560
lab_01,2000,1,5.050391,16000000000,3.168
lab_01,2000,1,4.710061,16000000000,3.397
lab_01,200,1,0.002529,16000000,6.326
lab_01,200,1,0.002077,16000000,7.705
lab_01,200,1,0.001541,16000000,10.383
lab_01,400,1,0.015164,128000000,8.441
lab_01,400,1,0.017862,128000000,7.166
lab_01,400,1,0.014318,128000000,8.940
lab_01,800,1,0.098847,1024000000,10.359
lab_01,800,1,0.114661,1024000000,8.931
lab_01,800,1,0.131917,1024000000,7.762
lab_01,1200,1,0.473494,3456000000,7.299
lab_01,1200,1,0.490695,3456000000,7.043
lab_01,1200,1,0.426498,3456000000,8.103
lab_01,1600,1,1.971032,8192000000,4.156
lab_01,1600,1,1.417185,8192000000,5.780
lab_01,1600,1,1.556953,8192000000,5.262
lab_01,2000,1,3.573834,16000000000,4.477
lab_01,2000,1,3.660774,16000000000,4.371
lab_01,2000,1,3.649947,16000000000,4.384
